SYMBOL,TIME,AVG_PRICE,AVG_SIZE,t1,t2,t3,tnext,tnext_dir
A, datetime.time(10 12),43.8967,100,43.99,44.022,44.15439394,44.25,1
A, datetime.time(10 18),43.99,100,44.022,44.15439394,44.07347826,43.8967,0
A, datetime.time(10 19),44.022,500,44.15439394,44.07347826,44.07,43.99,0
A, datetime.time(10 2),44.15439394,137.2727273,44.07347826,44.07,44.03571429,44.022,0
A, datetime.time(10 20),44.07347826,130.4347826,44.07,44.03571429,43.9,44.15439394,1
A, datetime.time(10 22),44.07,127.2727273,44.03571429,43.9,43.85,44.07347826,1
A, datetime.time(10 23),44.03571429,128.5714286,43.9,43.85,43.80025,44.07,1
A, datetime.time(10 24),43.9,100,43.85,43.80025,43.7185,44.03571429,1
A, datetime.time(10 26),43.85,100,43.80025,43.7185,43.81125,43.9,1
A, datetime.time(10 27),43.80025,100.75,43.7185,43.81125,43.8068,43.85,1
A, datetime.time(10 31),43.7185,200,43.81125,43.8068,43.82416667,43.80025,1
A, datetime.time(10 35),43.81125,100,43.8068,43.82416667,43.81,43.7185,0
A, datetime.time(10 36),43.8068,180,43.82416667,43.81,44.15,43.81125,1
A, datetime.time(10 38),43.82416667,100,43.81,44.15,43.76,43.8068,0
A, datetime.time(10 39),43.81,150,44.15,43.76,44.115,43.82416667,1
A, datetime.time(10 4),44.15,140,43.76,44.115,43.65,43.81,0
A, datetime.time(10 48),43.76,100,44.115,43.65,43.54,44.15,1
A, datetime.time(10 5),44.115,400,43.65,43.54,44.06,43.76,0
A, datetime.time(10 50),43.65,214.2857143,43.54,44.06,44.001,44.115,1
A, datetime.time(10 58),43.54,100,44.06,44.001,44.35625,43.65,1
A, datetime.time(10 6),44.06,100,44.001,44.35625,44.31,43.54,0
A, datetime.time(10 8),44.001,100,44.35625,44.31,44.31,44.06,1
A," datetime.time(10, 0, 1)",44.35625,100,44.31,44.31,44.29,44.001,0
A," datetime.time(10, 0, 12)",44.31,100,44.31,44.29,44.29,44.35625,1
A," datetime.time(10, 0, 13)",44.31,200,44.29,44.29,44.29,44.31,0
A," datetime.time(10, 0, 22)",44.29,100,44.29,44.29,44.28,44.31,1
A," datetime.time(10, 0, 28)",44.29,250,44.29,44.28,44.27,44.29,0
A," datetime.time(10, 0, 30)",44.29,133.3333333,44.28,44.27,44.259375,44.29,0
A," datetime.time(10, 0, 31)",44.28,100,44.27,44.259375,44.252,44.29,1
A," datetime.time(10, 0, 33)",44.27,100,44.259375,44.252,44.26205882,44.28,1
A," datetime.time(10, 0, 34)",44.259375,100,44.252,44.26205882,44.355,44.27,1
A," datetime.time(10, 0, 35)",44.252,440,44.26205882,44.355,44.2666875,44.259375,1
A," datetime.time(10, 0, 37)",44.26205882,1813.823529,44.355,44.2666875,44.25,44.252,0
A," datetime.time(10, 0, 4)",44.355,100,44.2666875,44.25,44.255,44.26205882,0
A," datetime.time(10, 0, 40)",44.2666875,143.75,44.25,44.255,44.25975,44.355,1
A," datetime.time(10, 0, 41)",44.25,100,44.255,44.25975,44.25,44.2666875,1
A," datetime.time(10, 0, 42)",44.255,133.3333333,44.25975,44.25,44.25632353,44.25,0
A," datetime.time(10, 0, 44)",44.25975,150,44.25,44.25632353,44.265,44.255,0
A," datetime.time(10, 0, 47)",44.25,450,44.25632353,44.265,44.25,44.25975,1
A," datetime.time(10, 0, 49)",44.25632353,157.5882353,44.265,44.25,44.25,44.25,0
A," datetime.time(10, 0, 50)",44.265,100,44.25,44.25,44.2525,44.25632353,0
A," datetime.time(10, 0, 52)",44.25,750,44.25,44.2525,44.25,44.265,1
A," datetime.time(10, 0, 54)",44.25,200,44.2525,44.25,44.34,44.25,0
A," datetime.time(10, 0, 58)",44.2525,108.3333333,44.25,44.34,44.33666667,44.25,0
A," datetime.time(10, 0, 59)",44.25,100,44.34,44.33666667,44.25,44.2525,1
A," datetime.time(10, 0, 6)",44.34,100,44.33666667,44.25,44.25,44.25,0
A," datetime.time(10, 0, 8)",44.33666667,133.3333333,44.25,44.25,44.25,44.34,1
A," datetime.time(10, 1, 14)",44.25,100.3333333,44.25,44.25,44.25,44.33666667,1
A," datetime.time(10, 1, 15)",44.25,100,44.25,44.25,44.24868421,44.25,0
A," datetime.time(10, 1, 2)",44.25,200,44.25,44.24868421,44.248,44.25,0
A," datetime.time(10, 1, 24)",44.25,116.6666667,44.24868421,44.248,44.24,44.25,0
A," datetime.time(10, 1, 25)",44.24868421,126.3157895,44.248,44.24,44.24,44.25,1
A," datetime.time(10, 1, 26)",44.248,125,44.24,44.24,44.24,44.24868421,1
A," datetime.time(10, 1, 27)",44.24,100,44.24,44.24,44.24,44.248,1
A," datetime.time(10, 1, 32)",44.24,100,44.24,44.24,44.22545455,44.24,0
A," datetime.time(10, 1, 34)",44.24,100,44.24,44.22545455,44.2,44.24,0
A," datetime.time(10, 1, 36)",44.24,200,44.22545455,44.2,44.2,44.24,0
A," datetime.time(10, 1, 39)",44.22545455,792.8181818,44.2,44.2,44.17666667,44.24,1
A," datetime.time(10, 1, 44)",44.2,100,44.2,44.17666667,44.16,44.22545455,1
A," datetime.time(10, 1, 46)",44.2,100,44.17666667,44.16,44.16,44.2,0
A," datetime.time(10, 1, 47)",44.17666667,121.6666667,44.16,44.16,44.16,44.2,1
A," datetime.time(10, 1, 48)",44.16,133.3333333,44.16,44.16,44.15,44.17666667,1
A," datetime.time(10, 1, 50)",44.16,100,44.16,44.15,44.14,44.16,0
A," datetime.time(10, 1, 51)",44.16,100,44.15,44.14,44.25,44.16,0
A," datetime.time(10, 1, 53)",44.15,100,44.14,44.25,43.89,44.16,1
A," datetime.time(10, 1, 58)",44.14,200,44.25,43.89,43.89,44.15,1
A," datetime.time(10, 1, 7)",44.25,100,43.89,43.89,43.89132353,44.14,0
A," datetime.time(10, 10, 1)",43.89,150,43.89,43.89132353,43.89,44.25,1
A," datetime.time(10, 10, 14)",43.89,100,43.89132353,43.89,43.898,43.89,0
A," datetime.time(10, 10, 17)",43.89132353,117.6470588,43.89,43.898,43.89,43.89,0
A," datetime.time(10, 10, 18)",43.89,100,43.898,43.89,43.895,43.89132353,1
A," datetime.time(10, 10, 19)",43.898,100,43.89,43.895,43.892,43.89,0
A," datetime.time(10, 10, 22)",43.89,500,43.895,43.892,43.87673913,43.898,1
A," datetime.time(10, 10, 32)",43.895,400,43.892,43.87673913,43.8775,43.89,0
A," datetime.time(10, 10, 33)",43.892,120,43.87673913,43.8775,43.87,43.895,1
A," datetime.time(10, 10, 41)",43.87673913,117.3913043,43.8775,43.87,43.87,43.892,1
A," datetime.time(10, 10, 43)",43.8775,100,43.87,43.87,43.87,43.87673913,0
A," datetime.time(10, 10, 44)",43.87,100,43.87,43.87,43.86833333,43.8775,1
A," datetime.time(10, 10, 45)",43.87,163,43.87,43.86833333,43.86,43.87,0
A," datetime.time(10, 10, 46)",43.87,100,43.86833333,43.86,43.85,43.87,0
A," datetime.time(10, 10, 47)",43.86833333,116.6666667,43.86,43.85,43.85,43.87,1
A," datetime.time(10, 10, 52)",43.86,100,43.85,43.85,43.86,43.86833333,1
A," datetime.time(10, 10, 53)",43.85,100,43.85,43.86,43.89,43.86,1
A," datetime.time(10, 10, 54)",43.85,175,43.86,43.89,43.85,43.85,0
A," datetime.time(10, 10, 57)",43.86,100,43.89,43.85,43.86216667,43.85,0
A," datetime.time(10, 10, 6)",43.89,133.3333333,43.85,43.86216667,43.87,43.86,0
A," datetime.time(10, 11, 1)",43.85,100,43.86216667,43.87,43.88307692,43.89,1
A," datetime.time(10, 11, 13)",43.86216667,122.4,43.87,43.88307692,43.89,43.85,0
A," datetime.time(10, 11, 14)",43.87,116.6666667,43.88307692,43.89,43.893,43.86216667,0
A," datetime.time(10, 11, 16)",43.88307692,123.0769231,43.89,43.893,43.86,43.87,0
A," datetime.time(10, 11, 17)",43.89,116.8571429,43.893,43.86,43.88711538,43.88307692,0
A," datetime.time(10, 11, 18)",43.893,150,43.86,43.88711538,43.88888889,43.89,0
A," datetime.time(10, 11, 2)",43.86,100,43.88711538,43.88888889,43.8525,43.893,1
A," datetime.time(10, 11, 20)",43.88711538,129.2307692,43.88888889,43.8525,43.9,43.86,0
A," datetime.time(10, 11, 22)",43.88888889,177.7777778,43.8525,43.9,43.86,43.88711538,0
A," datetime.time(10, 11, 3)",43.8525,100,43.9,43.86,43.898,43.88888889,1
A," datetime.time(10, 11, 46)",43.9,300,43.86,43.898,43.89431818,43.8525,0
A," datetime.time(10, 11, 5)",43.86,100,43.898,43.89431818,43.8585,43.9,1
A," datetime.time(10, 11, 50)",43.898,100,43.89431818,43.8585,43.85083333,43.86,0
A," datetime.time(10, 11, 59)",43.89431818,100,43.8585,43.85083333,43.8514,43.898,1
A," datetime.time(10, 11, 6)",43.8585,200,43.85083333,43.8514,43.895,43.89431818,1
A," datetime.time(10, 11, 8)",43.85083333,100,43.8514,43.895,43.88944444,43.8585,1
A," datetime.time(10, 11, 9)",43.8514,100,43.895,43.88944444,43.9,43.85083333,0
A," datetime.time(10, 12, 10)",43.895,100,43.88944444,43.9,43.88125833,43.8514,0
A," datetime.time(10, 12, 11)",43.88944444,127.7777778,43.9,43.88125833,43.865,43.895,1
A," datetime.time(10, 12, 2)",43.9,100,43.88125833,43.865,43.8575,43.88944444,0
A," datetime.time(10, 12, 23)",43.88125833,116.6666667,43.865,43.8575,43.87,43.9,1
A," datetime.time(10, 12, 24)",43.865,100,43.8575,43.87,43.86,43.88125833,1
A," datetime.time(10, 12, 25)",43.8575,116.6666667,43.87,43.86,43.85,43.865,1
A," datetime.time(10, 12, 26)",43.87,100,43.86,43.85,43.855,43.8575,0
A," datetime.time(10, 12, 29)",43.86,100,43.85,43.855,43.82142857,43.87,1
A," datetime.time(10, 12, 31)",43.85,112.5,43.855,43.82142857,43.8101,43.86,1
A," datetime.time(10, 12, 33)",43.855,100,43.82142857,43.8101,43.8175,43.85,0
A," datetime.time(10, 12, 38)",43.82142857,157.1428571,43.8101,43.8175,43.815,43.855,1
A," datetime.time(10, 12, 39)",43.8101,500,43.8175,43.815,43.8001,43.82142857,1
A," datetime.time(10, 12, 40)",43.8175,116.6666667,43.815,43.8001,43.805,43.8101,0
A," datetime.time(10, 12, 41)",43.815,142.8571429,43.8001,43.805,43.80825,43.8175,1
A," datetime.time(10, 12, 45)",43.8001,100,43.805,43.80825,43.81,43.815,1
A," datetime.time(10, 12, 47)",43.805,100,43.80825,43.81,43.80972222,43.8001,0
A," datetime.time(10, 12, 48)",43.80825,140,43.81,43.80972222,43.81,43.805,0
A," datetime.time(10, 12, 50)",43.81,100,43.80972222,43.81,43.81,43.80825,0
A," datetime.time(10, 12, 51)",43.80972222,122.2222222,43.81,43.81,43.805,43.81,1
A," datetime.time(10, 12, 53)",43.81,100,43.81,43.805,43.89,43.80972222,0
A," datetime.time(10, 12, 54)",43.81,100,43.805,43.89,43.90059524,43.81,0
A," datetime.time(10, 12, 57)",43.805,200,43.89,43.90059524,43.79375,43.81,1
A," datetime.time(10, 12, 6)",43.89,200,43.90059524,43.79375,43.81,43.805,0
A," datetime.time(10, 12, 7)",43.90059524,119.047619,43.79375,43.81,43.81,43.89,0
A," datetime.time(10, 13, 1)",43.79375,129.1666667,43.81,43.81,43.816,43.90059524,1
A," datetime.time(10, 13, 14)",43.81,172,43.81,43.816,43.82,43.79375,0
A," datetime.time(10, 13, 18)",43.81,100,43.816,43.82,43.81666667,43.81,0
A," datetime.time(10, 13, 19)",43.816,250,43.82,43.81666667,43.82,43.81,0
A," datetime.time(10, 13, 21)",43.82,100,43.81666667,43.82,43.81,43.816,0
A," datetime.time(10, 13, 23)",43.81666667,100,43.82,43.81,43.81,43.82,1
A," datetime.time(10, 13, 24)",43.82,100,43.81,43.81,43.8075,43.81666667,0
